171549	384475	377398	117748	248637	141672	474861	267575	155394	185660	508402	861422	356029	221723	652063	140391	234378	157287	307465	205131	154696	701742	320197	191675	140967	175605	179255	520844	342352	184145	207267	264563	169846	178365	826151	178062	109293	154331	360074	296477	159407	578463	454101	288471	144693	330711	250049	571291	304494	301369	490881	297243	171232	154238	1179209	363012	582295	216649	384011	331071	424160	193810	216735	197653	562549	690431	644561	331491	477816	306062	197321	147866	532205	365508	870358	756449	272884	161391	208657	141779	273800	460707	465860	206520	335439	243619	190103	159526	536799	155235	63620	251038	157219	852363	168610	357333	348817	315558	172239	330900	627838	360715	587557	192361	238589	371254	234506	243752	530561
28127	822	17368	23145	1325	9857	5420	12278	37859	15407	4649	2896	6186	3752	116810	11090	10707	3886	20897	50937	45839	7278	52825	48163	15988	32701	853	1633	54121	5780	424	6579	205	30712	12597	61544	7931	1502	3863	395	25738	1207	3790	37976	56334	70050	299391	393	67602	15422	1747	14648	39453	57837	14463	1383	1041	42269	3677	6851	1955	9249	17064	21987	1616	2377	16352	2109	24671	2812	7435	17953	14238	8297	2319	7454	21522	6391	36616	27397	1941	6537	135162	10194	1600	3669	11808	30310	5929	116499	5609	1591	16131	1418	19048	1026	3417	1831	38737	73299	236	436	69816	11328	14765	1643	61906	162292	841
815	288225	64436	23752	59428	35147	162679	55171	37939	38243	178417	268714	76491	44367	266036	20765	46987	23179	69483	43775	32482	225296	65899	37430	33384	55452	55334	89588	84722	28809	39536	82980	27509	34167	93066	26667	15902	18478	40723	41958	32922	109498	111336	51329	25683	60795	51897	107597	40516	46758	103252	49139	36290	33290	262751	148551	174930	30573	81783	76782	95660	37008	34922	38994	84343	182555	127191	57640	146866	90932	52263	23468	138228	93540	134340	199742	45860	22274	50871	37756	54224	106135	81084	42498	74620	60324	42269	31149	116166	31102	9007	49501	18658	123330	34465	59469	100386	54369	30789	70205	158633	60134	65790	28742	59203	39767	59441	56813	147237
818	765698	327900	77117	834419	81580	345442	176839	92329	107550	361759	874211	146941	37923	434115	99188	43258	52452	362563	230023	119123	136587	184909	120632	241922	134086	80045	145390	307337	219002	88771	107521	91468	99003	475446	108499	29390	62967	186085	31969	215356	460029	192576	290526	264242	245567	505514	457885	124517	133451	652458	252043	184034	138989	275721	465592	275091	83850	447084	167105	136674	118911	121129	156437	167184	421171	305232	37645	677505	147168	34699	74778	613909	703081	270054	116763	112072	103405	287065	100909	56626	321241	458239	242071	224192	83416	250282	74655	1401926	117289	17874	139959	57526	327894	367006	204451	89262	34033	186736	238788	2269787	250098	123442	136707	266881	414190	217359	408172	281862
371601	95925	141442	48481	494203	53487	202734	131094	71681	23814	216682	358526	78416	37223	413091	39220	44060	26482	119466	128058	71364	526434	248452	45787	73978	107726	59563	256692	120253	144336	25935	131046	20004	55714	289598	77247	24297	35842	231988	111460	68486	293057	111544	109486	47592	180365	65856	116968	124455	83173	114755	108449	104057	56105	570624	193044	234238	59061	300839	98112	230195	96609	42548	69364	355101	98876	145934	90384	346599	62497	34419	46433	358967	253841	559103	763548	126792	26247	104260	61573	57965	125737	178704	123115	77643	102916	123085	56829	250845	82982	18149	169739	28909	184206	69092	88523	30748	73396	82906	170392	1063020	44615	98703	52380	93131	379755	88563	93318	191679
47678	9835	349179	5977	1220616	3110	48704	80843	29389	7636	25193	67637	391371	186297	236545	14028	105136	27486	178147	19769	12378	17006	7710	16441	4898	60842	64682	29046	6405	41907	215449	93150	111756	7850	670066	10884	195023	7681	16570	6953	51680	354359	351114	237577	8387	7809	13170	12773	72979	164200	995549	289913	16369	6695	722536	8235	213937	8689	900557	37122	11981	103136	109887	32835	16109	34291	252902	385392	248714	188420	15806	20074	297620	75155	25450	16335	6155	172334	116372	8203	298490	28799	8523	36591	280522	114402	29376	7837	580177	9523	7449	17722	3926	171532	34051	108002	402705	385993	8447	7537	147651	9084	17272	34094	172293	349385	15386	10749	54338
820	230618	553100	16086	148677	36769	1125024	56008	99777	673240	1226878	430814	86376	51405	323146	93109	354279	235414	669364	188415	19588	742451	70523	18556	48915	33875	207279	1937070	168252	99429	895805	155846	631968	22427	285705	49123	21638	342451	222885	726004	39884	499895	348457	431576	39416	41744	299987	2902526	159743	151358	470747	363076	157202	38205	703923	400768	865057	28343	1015421	246627	1211578	38250	250515	234018	1247105	931310	145177	1130643	241308	363373	91538	155596	938382	1036806	1936975	1671102	129174	62433	49242	21820	704231	1352635	87232	83687	1307995	46851	89192	20851	1286609	29638	6751	269529	43917	3116478	61839	343643	304477	1065358	21394	47097	1489225	705156	71212	138705	251054	1151869	38569	91290	130092
817	151971	35597	9623	37272	14607	105286	31465	13625	280704	114703	1003368	19762	15491	66825	12519	41394	17271	52695	17155	10881	64241	28236	26039	9534	15559	23860	63870	19980	12153	93798	18416	9898	19479	1899872	15465	8647	9538	113679	14624	26417	252645	47477	94662	27554	27452	660968	155545	30902	59955	30759	28270	13869	25736	37717	45154	224963	15682	47291	76101	54453	31051	16412	27949	216668	392534	39505	143888	57818	57296	29139	11428	80968	27650	352513	67354	24256	8172	18247	11090	103099	56788	27110	55085	91730	14593	48436	22434	1308268	10817	3767	17102	10322	49495	22167	71809	52603	138745	15846	28325	880308	70510	54532	24948	19775	134965	20180	18622	22265
46506	70465	157502	12014	219890	89136	57239	8309	24406	324709	51493	28574	14695	272706	107130	12175	7804	97077	20978	204111	5474	1848956	30307	7143	3451	7582	34701	25355	8691	111330	99592	10737	275854	5895	13681	8840	25395	57735	5311	7329	245075	35328	234217	106673	10616	9402	3704	121902	17843	133987	7182	131900	169180	11089	9303	200105	234314	14197	166924	620557	49813	11640	31890	36996	5160	46140	29844	8396	135575	70994	8160	24560	92780	562465	8152	1391246	27702	2380	7869	6956	21667	28082	11613	41407	14196	24435	33350	5184	30735	6895	9581	210782	6347	33260	176871	42177	77523	6777	13159	8051	64355	118672	14492	37808	7221	6298	19122	14162	5458
2650157	151452	331218	4138	8883	2282	46923	6654	61003	4440	26441	19920	9350	3946	1119855	3443	18185	37674	11702	5505	4311	338936	10331	8897	2663	16871	27472	14625	5407	11772	3148	52484	25940	6191	112102	5074	2128	2325	6236	4975	5190	83974	7166	242763	5170	7530	112830	68924	103949	41828	47723	266970	4909	25526	58932	86577	269015	6063	23418	3373	17170	5847	13340	31145	6193	8429	28433	6631	306638	28533	16166	13474	24679	6933	9995	152988	7196	1948	5727	17230	10893	11217	8704	13733	7584	47752	12226	2948	112995	3978	1200	18731	5073	13087	7145	17204	3541	5974	7480	6528	535292	45132	73769	27113	92198	44913	8506	38196	139627
357276	123236	83468	23610	526293	29075	502499	88112	29257	25184	552607	131126	63751	85813	138653	96696	766528	264888	315335	51112	22030	75252	61444	30992	36476	188658	194725	102887	45410	48341	39484	17516	62211	17014	89661	21293	146706	72975	369954	49432	60844	1387061	99047	182144	21359	57765	1217072	1780398	26640	63314	85062	65364	42355	41064	2006769	80770	1845400	22913	363466	525837	263880	50305	96002	26165	707580	79521	121641	2241057	151955	681902	504098	75747	1017885	56283	1187875	179014	62362	48861	48323	88440	1408183	135315	57073	36635	47579	19478	40984	19090	86377	20267	16536	208156	57238	130318	65066	616784	86938	1948368	30314	55515	1130847	2596570	57752	38601	33631	47990	40763	56931	632199
387090	10030	16764	12470	13175	14975	219112	33172	13405	11543	245420	4791	27836	8655	39638	10291	22657	6028	16966	20556	18116	10105	30838	15610	32821	26412	39683	82426	56148	18624	19241	916970	5032	16370	7118	15965	3858	11867	3777	4232	20725	24174	34679	14618	18608	52691	23766	8578	24242	114002	27750	12887	15941	13579	11197	9014	3474	14987	18743	12780	38808	20934	5379	23244	5464	7185	54171	8342	12778	89682	22369	10191	27367	7777	8279	11130	18256	4705	56774	19988	26479	106141	72966	42034	60014	381454	45810	13655	8295	23808	2234	29422	8653	11491	17224	24653	8726	7511	17779	47966	710	6798	25667	75552	22605	2201	32358	22713	5212
2093856	16117	15527	11161	14554	3577	10768	100693	18658	1658	10649	10880	68978	8955	98832	8660	22833	7154	11632	23883	16546	17701	30127	11527	19143	18740	6282	2737	21554	53722	3429	8096	4259	10375	1354	56566	6385	2576	6150	1638	23865	6385	5135	11744	18477	38019	6187	10533	16585	14759	6695	12641	19640	11570	20621	37141	5986	14797	11496	17534	5996	43468	18461	35833	5925	24397	103739	1911	81021	12117	19889	7502	22110	22420	9474	19060	21143	4792	34142	26220	3999	4002	27936	39832	3320	5102	45647	11265	160412	52302	3567	4786	6632	19266	16470	4157	50839	1792	16195	35484	2380	14619	24581	10861	19236	2138	28304	16086	7175
28118	130972	199986	6628	200545	15586	64584	63070	48454	31497	58403	43350	34888	70640	105477	115155	81926	263366	8129	34978	7909	152689	65321	33825	41808	34983	99034	26323	12720	103485	126635	70882	128014	8588	24616	29942	30692	32288	28586	24272	36626	166435	154585	155534	32657	28311	156718	140419	72897	95558	127709	151664	28871	35910	14600	53167	172521	11484	214966	60193	66047	43081	345614	101760	23669	35095	84665	208373	115424	151007	133343	78308	19922	72261	38004	134006	81343	36934	38522	33509	165221	21887	36315	69347	106902	130416	70272	11267	107559	21035	17923	104749	22588	107035	56706	106289	46639	201766	30350	20634	46196	67915	20549	67964	100329	7244	19497	54163	9477
2585118	149803	121848	5915	199896	47207	118057	19321	24615	1542	127312	68108	22810	43150	50752	68658	41445	21808	24865	105471	3550	65825	26303	4905	1277	25638	37796	157845	3153	32122	136535	53572	141516	4054	14814	3107	8369	226550	184398	122456	34489	32327	124837	78610	24676	2603	1815	55515	3371	33190	20559	98330	87277	5295	68227	95529	138163	7963	175836	94937	143098	55633	47106	22239	102736	81669	48511	163884	24858	114383	14817	8571	89325	56710	124760	52288	69745	44942	35880	36945	115292	196275	2646	24713	99862	131939	17646	2126	60641	1289	2205	61718	24010	196995	14183	63367	116639	154253	14837	2617	11918	105297	4849	33490	16806	54063	3749	6304	32241
328814	63057	567631	6361	5206	1122	71288	10793	95869	131467	46909	79784	9675	22596	23595	12283	18327	14404	10289	26994	2023	166051	4097	5368	1496	3913	49754	31569	51433	110778	102992	74982	240405	3421	29815	5143	5613	45243	200486	41644	24688	335429	184477	374332	4502	3490	41246	117873	19290	170168	208050	415665	21725	31047	124812	59911	464595	20082	50703	4806	122970	12931	192465	163765	38785	221324	16167	658584	17041	194893	45865	8922	434205	454425	48857	112757	103429	6837	15744	3625	418158	50977	11649	37494	124600	169497	25423	2421	255550	2472	2321	56209	6229	111139	56357	255091	596838	606519	3867	6152	55053	70212	5520	77456	96567	278777	5338	32414	143819
328813	322811	23749	3756	48099	808	171057	4323	10868	6044	197978	702314	14704	9245	16107	201590	79278	100978	358253	136825	2114	264648	11711	7751	2386	1809	20734	874081	18719	55888	469921	130458	12267	7536	31854	4747	1491	105540	25247	73539	19409	211254	333421	23313	15286	3278	65534	249541	7553	335248	22250	17139	108811	22384	364228	535341	577885	10278	155373	4010	1041365	12046	21693	16793	9304	3629430	31668	53189	7043	39386	73664	27001	808804	1471791	12707	955393	31363	11640	6790	3093	40606	305513	2555	34689	994767	121808	22878	2811	35331	2073	1649	325956	4891	151927	8830	368526	93026	49957	3460	3296	32050	334347	18995	331610	8001	17740	6291	15231	28617
375288	291717	56802	2843	296600	33291	28868	18595	29561	29629	28135	56807	56766	9884	17257	56389	64812	17144	345520	60665	2248	83745	40123	26980	12618	4653	83418	12284	50005	52287	35374	13809	119370	9055	149250	30080	5921	101411	65556	30814	83843	95036	65347	42851	16132	5686	31238	9489	19885	31456	120520	44635	50976	87619	201917	553540	78438	6846	180982	116114	33747	17081	116609	24694	63331	53331	114560	115382	48262	73343	33368	15900	467610	174699	102026	95529	149031	142207	15858	4695	95761	11734	23662	233920	134114	7946	219320	7579	124868	19096	2169	32130	8792	266218	166434	71282	155689	130543	13772	7671	34683	121170	16734	25527	32231	5992	6818	62579	95112
